Date,Close/Last,Volume,Open,High,Low
04/18/2022,$165.07 ,69023940,$163.92 ,$166.60 ,$163.57 
04/14/2022,$165.29 ,75329380,$170.62 ,$171.27 ,$165.04 
04/13/2022,$170.40 ,70618930,$167.39 ,$171.04 ,$166.77 
04-12-22,$167.66 ,79265180,$168.02 ,$169.87 ,$166.64 
04-11-22,$165.75 ,72246710,$168.71 ,$169.03 ,$165.50 
04-08-22,$170.09 ,76575510,$171.78 ,$171.78 ,$169.20 
04-07-22,$172.14 ,77594650,$171.16 ,$173.36 ,$169.85 
04-06-22,$171.83 ,89058780,$172.36 ,$173.63 ,$170.13 
04-05-22,$175.06 ,73401790,$177.50 ,$178.30 ,$174.42 
04-04-22,$178.44 ,76545980,$174.57 ,$178.49 ,$174.44 
04-01-22,$174.31 ,78751330,$174.03 ,$174.88 ,$171.94 
03/31/2022,$174.61 ,103049300,$177.84 ,$178.03 ,$174.40 
03/30/2022,$177.77 ,92633150,$178.55 ,$179.61 ,$176.70 
03/29/2022,$178.96 ,100589400,$176.69 ,$179.01 ,$176.34 
03/28/2022,$175.60 ,90371920,$172.17 ,$175.73 ,$172 
03/25/2022,$174.72 ,80546160,$173.88 ,$175.28 ,$172.75 
03/24/2022,$174.07 ,90131420,$171.06 ,$174.14 ,$170.21 
03/23/2022,$170.21 ,98062670,$167.99 ,$172.64 ,$167.65 
03/22/2022,$168.82 ,81532010,$165.51 ,$169.42 ,$164.91 
03/21/2022,$165.38 ,95811350,$163.51 ,$166.35 ,$163.02 
